===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 0.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 24.39s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.32 [D]0.00 (Err: -0.52) 
T: 24.39s | SP: 30.00 | SPD R: 29.47 | DUTY R: 63 | [P]1.06 [I]6.91 [D]0.00 (Err: 0.53) 
T: 24.64s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.33 [D]0.00 (Err: -0.52) 
T: 24.64s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]7.07 [D]0.00 (Err: -0.52) 
T: 24.89s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.17 [D]0.00 (Err: -0.52) 
T: 24.89s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]7.00 [D]0.00 (Err: -1.57) 
T: 25.15s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.10 [D]0.00 (Err: -0.52) 
T: 25.15s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.78 [D]0.00 (Err: -1.57) 
T: 25.40s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]22.84 [D]0.00 (Err: -1.57) 
T: 25.40s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.64 [D]0.00 (Err: -0.52) 
T: 25.65s | SP: 30.00 | SPD L: 29.47 | DUTY L: 70 | [P]1.06 [I]23.00 [D]0.00 (Err: 0.53) 
T: 25.65s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.76 [D]0.00 (Err: -0.52) 
T: 25.90s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.26 [D]0.00 (Err: -0.52) 
T: 25.90s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.92 [D]0.00 (Err: -0.52) 
T: 26.15s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.40 [D]0.00 (Err: -0.52) 
T: 26.15s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]7.02 [D]0.00 (Err: -1.57) 
T: 26.40s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.45 [D]0.00 (Err: -1.57) 
T: 26.40s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.88 [D]0.00 (Err: -1.57) 
T: 26.65s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.25 [D]0.00 (Err: -1.57) 
T: 26.65s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.68 [D]0.00 (Err: -1.57) 
T: 26.91s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.10 [D]0.00 (Err: -1.57) 
T: 26.91s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.48 [D]0.00 (Err: -1.57) 
T: 27.16s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]22.90 [D]0.00 (Err: -1.57) 
T: 27.16s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.66 [D]0.00 (Err: -0.52) 
T: 27.41s | SP: 30.00 | SPD L: 30.52 | DUTY L: 68 | [P]-1.04 [I]22.93 [D]0.00 (Err: -0.52) 
T: 27.41s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.82 [D]0.00 (Err: -0.52) 
T: 27.66s | SP: 30.00 | SPD L: 30.52 | DUTY L: 69 | [P]-1.04 [I]23.30 [D]0.00 (Err: -0.52) 
T: 27.66s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.87 [D]0.00 (Err: -1.57) 
T: 27.91s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.29 [D]0.00 (Err: -1.57) 
T: 27.91s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.78 [D]0.00 (Err: -1.57) 
T: 28.16s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.35 [D]0.00 (Err: -1.57) 
T: 28.16s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.66 [D]0.00 (Err: -1.57) 
T: 28.41s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.21 [D]0.00 (Err: -1.57) 
T: 28.41s | SP: 30.00 | SPD R: 30.52 | DUTY R: 62 | [P]-1.04 [I]6.80 [D]0.00 (Err: -0.52) 
T: 28.67s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.01 [D]0.00 (Err: -1.57) 
T: 28.67s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.90 [D]0.00 (Err: -1.57) 
T: 28.92s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]22.91 [D]0.00 (Err: -1.57) 
T: 28.92s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.78 [D]0.00 (Err: -1.57) 
T: 29.17s | SP: 30.00 | SPD L: 30.52 | DUTY L: 68 | [P]-1.04 [I]22.95 [D]0.00 (Err: -0.52) 
T: 29.17s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.62 [D]0.00 (Err: -1.57) 
T: 29.42s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.29 [D]0.00 (Err: -1.57) 
T: 29.42s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.53 [D]0.00 (Err: -1.57) 
T: 29.67s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.39 [D]0.00 (Err: -1.57) 
T: 29.67s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.79 [D]0.00 (Err: -1.57) 
T: 29.92s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.38 [D]0.00 (Err: -1.57) 
T: 29.92s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.93 [D]0.00 (Err: -1.57) 
T: 30.18s | SP: 30.00 | SPD L: 31.57 | DUTY L: 68 | [P]-3.15 [I]23.35 [D]0.00 (Err: -1.57) 
T: 30.18s | SP: 30.00 | SPD R: 31.57 | DUTY R: 61 | [P]-3.15 [I]6.83 [D]0.00 (Err: -1.57) 
> [Motor] PID Target Setpoint 0 
T: 30.43s | SP: 0.00 | SPD L: 29.47 | DUTY L: 0 | [P]-58.94 [I]0.00 [D]0.00 (Err: -29.47) 
T: 30.43s | SP: 0.00 | SPD R: 30.52 | DUTY R: 0 | [P]-61.04 [I]0.00 [D]0.00 (Err: -30.52) 
T: 30.68s | SP: 0.00 | SPD L: 20.00 | DUTY L: 0 | [P]-39.99 [I]0.00 [D]0.00 (Err: -20.00) 
T: 30.68s | SP: 0.00 | SPD R: 22.10 | DUTY R: 0 | [P]-44.20 [I]0.00 [D]0.00 (Err: -22.10) 
T: 30.93s | SP: 0.00 | SPD L: 12.63 | DUTY L: 0 | [P]-25.26 [I]0.00 [D]0.00 (Err: -12.63) 
T: 30.93s | SP: 0.00 | SPD R: 12.63 | DUTY R: 0 | [P]-25.26 [I]0.00 [D]0.00 (Err: -12.63) 
T: 31.18s | SP: 0.00 | SPD L: 3.16 | DUTY L: 0 | [P]-6.31 [I]0.00 [D]0.00 (Err: -3.16) 
T: 31.18s | SP: 0.00 | SPD R: 4.21 | DUTY R: 0 | [P]-8.42 [I]0.00 [D]0.00 (Err: -4.21) 
T: 31.43s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 31.43s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 31.68s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 31.68s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 31.94s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 31.94s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 32.19s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 32.19s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 35 
T: 32.44s | SP: 35.00 | SPD L: 7.37 | DUTY L: 87 | [P]55.27 [I]13.54 [D]0.00 (Err: 27.63) 
T: 32.44s | SP: 35.00 | SPD R: 7.37 | DUTY R: 87 | [P]55.27 [I]13.44 [D]0.00 (Err: 27.63) 
T: 32.69s | SP: 35.00 | SPD L: 20.00 | DUTY L: 82 | [P]30.01 [I]24.15 [D]0.00 (Err: 15.00) 
T: 32.69s | SP: 35.00 | SPD R: 21.05 | DUTY R: 80 | [P]27.90 [I]23.66 [D]0.00 (Err: 13.95) 
T: 32.94s | SP: 35.00 | SPD L: 32.63 | DUTY L: 73 | [P]4.75 [I]28.23 [D]0.00 (Err: 2.37) 
T: 32.94s | SP: 35.00 | SPD R: 34.73 | DUTY R: 71 | [P]0.54 [I]27.00 [D]0.00 (Err: 0.27) 
T: 33.19s | SP: 35.00 | SPD L: 42.10 | DUTY L: 65 | [P]-14.19 [I]26.61 [D]0.00 (Err: -7.10) 
T: 33.19s | SP: 35.00 | SPD R: 46.31 | DUTY R: 60 | [P]-22.61 [I]24.22 [D]0.00 (Err: -11.31) 
T: 33.44s | SP: 35.00 | SPD L: 39.99 | DUTY L: 66 | [P]-9.98 [I]25.09 [D]0.00 (Err: -4.99) 
T: 33.44s | SP: 35.00 | SPD R: 44.20 | DUTY R: 61 | [P]-18.40 [I]20.61 [D]0.00 (Err: -9.20) 
T: 33.70s | SP: 35.00 | SPD L: 35.78 | DUTY L: 69 | [P]-1.57 [I]25.50 [D]0.00 (Err: -0.78) 
T: 33.70s | SP: 35.00 | SPD R: 39.99 | DUTY R: 64 | [P]-9.98 [I]19.02 [D]0.00 (Err: -4.99) 
T: 33.95s | SP: 35.00 | SPD L: 33.68 | DUTY L: 72 | [P]2.64 [I]27.36 [D]0.00 (Err: 1.32) 
T: 33.95s | SP: 35.00 | SPD R: 37.89 | DUTY R: 65 | [P]-5.78 [I]18.87 [D]0.00 (Err: -2.89) 
T: 34.20s | SP: 35.00 | SPD L: 35.78 | DUTY L: 71 | [P]-1.57 [I]28.64 [D]0.00 (Err: -0.78) 
T: 34.20s | SP: 35.00 | SPD R: 36.84 | DUTY R: 66 | [P]-3.67 [I]19.38 [D]0.00 (Err: -1.84) 
T: 34.45s | SP: 35.00 | SPD L: 38.94 | DUTY L: 68 | [P]-7.88 [I]28.62 [D]0.00 (Err: -3.94) 
T: 34.45s | SP: 35.00 | SPD R: 38.94 | DUTY R: 64 | [P]-7.88 [I]19.11 [D]0.00 (Err: -3.94) 
T: 34.70s | SP: 35.00 | SPD L: 38.94 | DUTY L: 68 | [P]-7.88 [I]28.37 [D]0.00 (Err: -3.94) 
T: 34.70s | SP: 35.00 | SPD R: 39.99 | DUTY R: 63 | [P]-9.98 [I]18.25 [D]0.00 (Err: -4.99) 
T: 34.95s | SP: 35.00 | SPD L: 37.89 | DUTY L: 69 | [P]-5.78 [I]28.44 [D]0.00 (Err: -2.89) 
T: 34.95s | SP: 35.00 | SPD R: 39.99 | DUTY R: 63 | [P]-9.98 [I]17.38 [D]0.00 (Err: -4.99) 
T: 35.20s | SP: 35.00 | SPD L: 36.84 | DUTY L: 70 | [P]-3.67 [I]28.95 [D]0.00 (Err: -1.84) 
T: 35.20s | SP: 35.00 | SPD R: 39.99 | DUTY R: 62 | [P]-9.98 [I]16.73 [D]0.00 (Err: -4.99) 
T: 35.46s | SP: 35.00 | SPD L: 37.89 | DUTY L: 69 | [P]-5.78 [I]29.15 [D]0.00 (Err: -2.89) 
T: 35.46s | SP: 35.00 | SPD R: 38.94 | DUTY R: 63 | [P]-7.88 [I]16.23 [D]0.00 (Err: -3.94) 
T: 35.71s | SP: 35.00 | SPD L: 37.89 | DUTY L: 69 | [P]-5.78 [I]29.19 [D]0.00 (Err: -2.89) 
T: 35.71s | SP: 35.00 | SPD R: 38.94 | DUTY R: 63 | [P]-7.88 [I]15.97 [D]0.00 (Err: -3.94) 
T: 35.96s | SP: 35.00 | SPD L: 38.94 | DUTY L: 68 | [P]-7.88 [I]28.97 [D]0.00 (Err: -3.94) 
T: 35.96s | SP: 35.00 | SPD R: 38.94 | DUTY R: 63 | [P]-7.88 [I]15.81 [D]0.00 (Err: -3.94) 
T: 36.21s | SP: 35.00 | SPD L: 37.89 | DUTY L: 69 | [P]-5.78 [I]29.35 [D]0.00 (Err: -2.89) 
T: 36.21s | SP: 35.00 | SPD R: 38.94 | DUTY R: 63 | [P]-7.88 [I]15.56 [D]0.00 (Err: -3.94) 
T: 36.46s | SP: 35.00 | SPD L: 38.94 | DUTY L: 68 | [P]-7.88 [I]29.42 [D]0.00 (Err: -3.94) 
T: 36.46s | SP: 35.00 | SPD R: 38.94 | DUTY R: 63 | [P]-7.88 [I]15.35 [D]0.00 (Err: -3.94) 
T: 36.71s | SP: 35.00 | SPD L: 37.89 | DUTY L: 70 | [P]-5.78 [I]29.80 [D]0.00 (Err: -2.89) 
T: 36.71s | SP: 35.00 | SPD R: 39.99 | DUTY R: 62 | [P]-9.98 [I]14.87 [D]0.00 (Err: -4.99) 
T: 36.97s | SP: 35.00 | SPD L: 38.94 | DUTY L: 68 | [P]-7.88 [I]29.85 [D]0.00 (Err: -3.94) 
T: 36.97s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.55 [D]0.00 (Err: -3.94) 
T: 37.22s | SP: 35.00 | SPD L: 38.94 | DUTY L: 68 | [P]-7.88 [I]29.77 [D]0.00 (Err: -3.94) 
T: 37.22s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.47 [D]0.00 (Err: -3.94) 
T: 37.47s | SP: 35.00 | SPD L: 37.89 | DUTY L: 70 | [P]-5.78 [I]29.92 [D]0.00 (Err: -2.89) 
T: 37.47s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.58 [D]0.00 (Err: -3.94) 
T: 37.72s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.07 [D]0.00 (Err: -3.94) 
T: 37.72s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.60 [D]0.00 (Err: -3.94) 
T: 37.97s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.37 [D]0.00 (Err: -3.94) 
T: 37.97s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.75 [D]0.00 (Err: -3.94) 
T: 38.22s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.35 [D]0.00 (Err: -3.94) 
T: 38.22s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.61 [D]0.00 (Err: -3.94) 
T: 38.47s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.52 [D]0.00 (Err: -3.94) 
T: 38.47s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.63 [D]0.00 (Err: -3.94) 
T: 38.73s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.40 [D]0.00 (Err: -3.94) 
T: 38.73s | SP: 35.00 | SPD R: 39.99 | DUTY R: 62 | [P]-9.98 [I]14.34 [D]0.00 (Err: -4.99) 
T: 38.98s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.51 [D]0.00 (Err: -3.94) 
T: 38.98s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.26 [D]0.00 (Err: -3.94) 
T: 39.23s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.30 [D]0.00 (Err: -3.94) 
T: 39.23s | SP: 35.00 | SPD R: 39.99 | DUTY R: 61 | [P]-9.98 [I]13.92 [D]0.00 (Err: -4.99) 
T: 39.48s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.56 [D]0.00 (Err: -3.94) 
T: 39.48s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.05 [D]0.00 (Err: -3.94) 
T: 39.73s | SP: 35.00 | SPD L: 39.99 | DUTY L: 68 | [P]-9.98 [I]30.43 [D]0.00 (Err: -4.99) 
T: 39.73s | SP: 35.00 | SPD R: 39.99 | DUTY R: 61 | [P]-9.98 [I]13.84 [D]0.00 (Err: -4.99) 
T: 39.98s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.58 [D]0.00 (Err: -3.94) 
T: 39.98s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]13.93 [D]0.00 (Err: -3.94) 
T: 40.24s | SP: 35.00 | SPD L: 39.99 | DUTY L: 68 | [P]-9.98 [I]30.35 [D]0.00 (Err: -4.99) 
T: 40.24s | SP: 35.00 | SPD R: 39.99 | DUTY R: 61 | [P]-9.98 [I]13.68 [D]0.00 (Err: -4.99) 
T: 40.49s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.48 [D]0.00 (Err: -3.94) 
T: 40.49s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]13.74 [D]0.00 (Err: -3.94) 
T: 40.74s | SP: 35.00 | SPD L: 39.99 | DUTY L: 68 | [P]-9.98 [I]30.25 [D]0.00 (Err: -4.99) 
T: 40.74s | SP: 35.00 | SPD R: 39.99 | DUTY R: 61 | [P]-9.98 [I]13.54 [D]0.00 (Err: -4.99) 
T: 40.99s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.38 [D]0.00 (Err: -3.94) 
T: 40.99s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]13.62 [D]0.00 (Err: -3.94) 
T: 41.24s | SP: 35.00 | SPD L: 39.99 | DUTY L: 68 | [P]-9.98 [I]30.29 [D]0.00 (Err: -4.99) 
T: 41.24s | SP: 35.00 | SPD R: 39.99 | DUTY R: 61 | [P]-9.98 [I]13.62 [D]0.00 (Err: -4.99) 
T: 41.49s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.54 [D]0.00 (Err: -3.94) 
T: 41.49s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]13.91 [D]0.00 (Err: -3.94) 
T: 41.74s | SP: 35.00 | SPD L: 39.99 | DUTY L: 68 | [P]-9.98 [I]30.38 [D]0.00 (Err: -4.99) 
T: 41.74s | SP: 35.00 | SPD R: 39.99 | DUTY R: 61 | [P]-9.98 [I]13.79 [D]0.00 (Err: -4.99) 
T: 42.00s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.63 [D]0.00 (Err: -3.94) 
T: 42.00s | SP: 35.00 | SPD R: 38.94 | DUTY R: 62 | [P]-7.88 [I]14.00 [D]0.00 (Err: -3.94) 
T: 42.25s | SP: 35.00 | SPD L: 39.99 | DUTY L: 68 | [P]-9.98 [I]30.48 [D]0.00 (Err: -4.99) 
T: 42.25s | SP: 35.00 | SPD R: 39.99 | DUTY R: 61 | [P]-9.98 [I]13.84 [D]0.00 (Err: -4.99) 
T: 42.50s | SP: 35.00 | SPD L: 38.94 | DUTY L: 69 | [P]-7.88 [I]30.70 [D]0.00 (Err: -3.94) 
T: 42.50s | SP: 35.00 | SPD R: 39.99 | DUTY R: 62 | [P]-9.98 [I]13.99 [D]0.00 (Err: -4.99) 
T: 42.75s | SP: 35.00 | SPD L: 29.47 | DUTY L: 76 | [P]11.06 [I]30.76 [D]0.00 (Err: 5.53) 
T: 42.75s | SP: 35.00 | SPD R: 29.47 | DUTY R: 70 | [P]11.06 [I]14.04 [D]0.00 (Err: 5.53) 
T: 43.00s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]31.05 [D]0.00 (Err: 4.48) 
T: 43.00s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.31 [D]0.00 (Err: 4.48) 
T: 43.25s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.98 [D]0.00 (Err: 4.48) 
T: 43.25s | SP: 35.00 | SPD R: 29.47 | DUTY R: 70 | [P]11.06 [I]14.26 [D]0.00 (Err: 5.53) 
T: 43.51s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.65 [D]0.00 (Err: 4.48) 
T: 43.51s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.44 [D]0.00 (Err: 4.48) 
T: 43.76s | SP: 35.00 | SPD L: 29.47 | DUTY L: 76 | [P]11.06 [I]30.65 [D]0.00 (Err: 5.53) 
T: 43.76s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.29 [D]0.00 (Err: 4.48) 
T: 44.01s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.83 [D]0.00 (Err: 4.48) 
T: 44.01s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.39 [D]0.00 (Err: 4.48) 
T: 44.26s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.95 [D]0.00 (Err: 4.48) 
T: 44.26s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.42 [D]0.00 (Err: 4.48) 
T: 44.51s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.75 [D]0.00 (Err: 4.48) 
T: 44.51s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.57 [D]0.00 (Err: 4.48) 
T: 44.76s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.85 [D]0.00 (Err: 3.43) 
T: 44.76s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.47 [D]0.00 (Err: 4.48) 
T: 45.01s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.65 [D]0.00 (Err: 4.48) 
T: 45.01s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.53 [D]0.00 (Err: 4.48) 
T: 45.27s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.77 [D]0.00 (Err: 4.48) 
T: 45.27s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.33 [D]0.00 (Err: 4.48) 
T: 45.52s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.15 [D]0.00 (Err: 3.43) 
T: 45.52s | SP: 35.00 | SPD R: 31.57 | DUTY R: 68 | [P]6.85 [I]14.30 [D]0.00 (Err: 3.43) 
T: 45.77s | SP: 35.00 | SPD L: 31.57 | DUTY L: 74 | [P]6.85 [I]29.89 [D]0.00 (Err: 3.43) 
T: 45.77s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.08 [D]0.00 (Err: 4.48) 
T: 46.02s | SP: 35.00 | SPD L: 30.52 | DUTY L: 75 | [P]8.96 [I]29.71 [D]0.00 (Err: 4.48) 
T: 46.02s | SP: 35.00 | SPD R: 31.57 | DUTY R: 68 | [P]6.85 [I]14.22 [D]0.00 (Err: 3.43) 
T: 46.27s | SP: 35.00 | SPD L: 29.47 | DUTY L: 76 | [P]11.06 [I]30.02 [D]0.00 (Err: 5.53) 
T: 46.27s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.20 [D]0.00 (Err: 4.48) 
T: 46.52s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.46 [D]0.00 (Err: 4.48) 
T: 46.52s | SP: 35.00 | SPD R: 31.57 | DUTY R: 68 | [P]6.85 [I]14.29 [D]0.00 (Err: 3.43) 
T: 46.78s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.56 [D]0.00 (Err: 3.43) 
T: 46.78s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.22 [D]0.00 (Err: 4.48) 
T: 47.03s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.36 [D]0.00 (Err: 3.43) 
T: 47.03s | SP: 35.00 | SPD R: 31.57 | DUTY R: 68 | [P]6.85 [I]14.26 [D]0.00 (Err: 3.43) 
T: 47.28s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.06 [D]0.00 (Err: 4.48) 
T: 47.28s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.10 [D]0.00 (Err: 4.48) 
T: 47.53s | SP: 35.00 | SPD L: 30.52 | DUTY L: 76 | [P]8.96 [I]30.28 [D]0.00 (Err: 4.48) 
T: 47.53s | SP: 35.00 | SPD R: 31.57 | DUTY R: 68 | [P]6.85 [I]14.28 [D]0.00 (Err: 3.43) 
T: 47.78s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.63 [D]0.00 (Err: 3.43) 
T: 47.78s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.32 [D]0.00 (Err: 4.48) 
T: 48.03s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.62 [D]0.00 (Err: 3.43) 
T: 48.03s | SP: 35.00 | SPD R: 31.57 | DUTY R: 68 | [P]6.85 [I]14.41 [D]0.00 (Err: 3.43) 
T: 48.28s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.42 [D]0.00 (Err: 3.43) 
T: 48.28s | SP: 35.00 | SPD R: 30.52 | DUTY R: 69 | [P]8.96 [I]14.34 [D]0.00 (Err: 4.48) 
T: 48.54s | SP: 35.00 | SPD L: 31.57 | DUTY L: 75 | [P]6.85 [I]30.44 [D]0.00 (Err: 3.43) 
T: 48.54s | SP: 35.00 | SPD R: 31.57 | DUTY R: 68 | [P]6.85 [I]14.42 [D]0.00 (Err: 3.43) 
